record_id,field,original_text,cleaned_text,words,segmented_text,pos_tags,word_count,unique_word_count,words_list,word_frequencies,lexical_diversity
0,新聞標題,"日本能源轉向 增核能降火力 台灣應借鏡？Japan Shifts Energy Policy: More Nuclear, Less Fossil Fuel",日本能源轉向增核能降火力台灣應借鏡？,"['日本', '能源', '轉向', '增', '核能', '降', '火力', '台灣', '應', '借鏡', '？']",日本 / 能源 / 轉向 / 增 / 核能 / 降 / 火力 / 台灣 / 應 / 借鏡 / ？,日本/ns | 能源/n | 轉向/v | 增/v | 核能/n | 降/v | 火力/n | 台灣/ns | 應/v | 借鏡/n | ？/x,11,11,"日本, 能源, 轉向, 增, 核能, 降, 火力, 台灣, 應, 借鏡, ？","{'日本': 1, '能源': 1, '轉向': 1, '增': 1, '核能': 1, '降': 1, '火力': 1, '台灣': 1, '應': 1, '借鏡': 1, '？': 1}",1.0
1,新聞標題,麥當勞性侵案後改革 董事長發聲承諾改善McDonald's Pledges Reform After Assault Scandal,麥當勞性侵案後改革董事長發聲承諾改善,"['麥', '當', '勞性', '侵案', '後', '改革', '董事', '長', '發聲', '承諾', '改善']",麥 / 當 / 勞性 / 侵案 / 後 / 改革 / 董事 / 長 / 發聲 / 承諾 / 改善,麥/nr | 當/p | 勞性/n | 侵案/v | 後/nr | 改革/vn | 董事/n | 長/a | 發聲/n | 承諾/v | 改善/v,11,11,"麥, 當, 勞性, 侵案, 後, 改革, 董事, 長, 發聲, 承諾, 改善","{'麥': 1, '當': 1, '勞性': 1, '侵案': 1, '後': 1, '改革': 1, '董事': 1, '長': 1, '發聲': 1, '承諾': 1, '改善': 1}",1.0
2,新聞標題,"回收3.87元遭貪污起訴？清潔隊員案掀社會熱議""Garbage Collectors Indicted for $3.87 Bribery? Public Outrage Ensues""",回收387元遭貪污起訴？清潔隊員案掀社會熱議387,"['回收', '387', '元', '遭', '貪污', '起訴', '？', '清潔', '隊員案', '掀', '社會', '熱議', '387']",回收 / 387 / 元 / 遭 / 貪污 / 起訴 / ？ / 清潔 / 隊員案 / 掀 / 社會 / 熱議 / 387,回收/v | 387/m | 元/m | 遭/v | 貪污/v | 起訴/v | ？/x | 清潔/a | 隊員案/n | 掀/v | 社會/n | 熱議/n | 387/m,13,12,"回收, 387, 元, 遭, 貪污, 起訴, ？, 清潔, 隊員案, 掀, 社會, 熱議, 387","{'回收': 1, '387': 2, '元': 1, '遭': 1, '貪污': 1, '起訴': 1, '？': 1, '清潔': 1, '隊員案': 1, '掀': 1, '社會': 1, '熱議': 1}",0.9230769230769231
3,新聞標題,Google示警！AI詐騙電話橫行，Gmail用戶警惕Google Alert! AI Scam Calls Targeting Gmail Users,示警！詐騙電話橫行，用戶警惕,"['示警', '！', '詐騙', '電話', '橫行', '，', '用戶', '警惕']",示警 / ！ / 詐騙 / 電話 / 橫行 / ， / 用戶 / 警惕,示警/vn | ！/x | 詐騙/vn | 電話/n | 橫行/v | ，/x | 用戶/n | 警惕/v,8,8,"示警, ！, 詐騙, 電話, 橫行, ，, 用戶, 警惕","{'示警': 1, '！': 1, '詐騙': 1, '電話': 1, '橫行': 1, '，': 1, '用戶': 1, '警惕': 1}",1.0
4,新聞標題,台男走私22公斤古柯鹼入日 創個人紀錄Taiwanese Man Smuggles 22kg Cocaine to Japan,台男走私22公斤古柯鹼入日創個人紀錄22,"['台', '男', '走私', '22', '公斤', '古柯', '鹼入', '日', '創', '個', '人紀', '錄', '22']",台 / 男 / 走私 / 22 / 公斤 / 古柯 / 鹼入 / 日 / 創 / 個 / 人紀 / 錄 / 22,台/q | 男/n | 走私/n | 22/m | 公斤/q | 古柯/nr | 鹼入/n | 日/m | 創/vg | 個/q | 人紀/n | 錄/v | 22/m,13,12,"台, 男, 走私, 22, 公斤, 古柯, 鹼入, 日, 創, 個, 人紀, 錄, 22","{'台': 1, '男': 1, '走私': 1, '22': 2, '公斤': 1, '古柯': 1, '鹼入': 1, '日': 1, '創': 1, '個': 1, '人紀': 1, '錄': 1}",0.9230769230769231
5,新聞標題,"AI 自我複製驚現！研究揭示潛在風險""AI Self-Replication Found! Study Reveals Risks""",自我複製驚現！研究揭示潛在風險-,"['自我', '複', '製', '驚', '現', '！', '研究', '揭示', '潛', '在', '風險', '-']",自我 / 複 / 製 / 驚 / 現 / ！ / 研究 / 揭示 / 潛 / 在 / 風險 / -,自我/r | 複/x | 製/zg | 驚/v | 現/tg | ！/x | 研究/vn | 揭示/v | 潛/v | 在/p | 風險/n | -/x,12,12,"自我, 複, 製, 驚, 現, ！, 研究, 揭示, 潛, 在, 風險, -","{'自我': 1, '複': 1, '製': 1, '驚': 1, '現': 1, '！': 1, '研究': 1, '揭示': 1, '潛': 1, '在': 1, '風險': 1, '-': 1}",1.0
6,新聞標題,"曹興誠遭爆婚外情 回應：AI照可造假Cao Xingcheng’s Affair Exposed, Calls AI Photos Fake",曹興誠遭爆婚外情回應：照可造假,"['曹興誠', '遭', '爆', '婚外情', '回應', '：', '照可', '造假']",曹興誠 / 遭 / 爆 / 婚外情 / 回應 / ： / 照可 / 造假,曹興誠/nr | 遭/v | 爆/v | 婚外情/n | 回應/v | ：/x | 照可/v | 造假/v,8,8,"曹興誠, 遭, 爆, 婚外情, 回應, ：, 照可, 造假","{'曹興誠': 1, '遭': 1, '爆': 1, '婚外情': 1, '回應': 1, '：': 1, '照可': 1, '造假': 1}",1.0
7,新聞標題,"Joeman與孫生合作惹議 急下架影片道歉Joeman Faces Backlash, Deletes Video & Apologizes",與孫生合作惹議急下架影片道歉,"['與', '孫生', '合作', '惹議', '急', '下架', '影片', '道歉']",與 / 孫生 / 合作 / 惹議 / 急 / 下架 / 影片 / 道歉,與/p | 孫生/nr | 合作/vn | 惹議/v | 急/v | 下架/v | 影片/n | 道歉/v,8,8,"與, 孫生, 合作, 惹議, 急, 下架, 影片, 道歉","{'與': 1, '孫生': 1, '合作': 1, '惹議': 1, '急': 1, '下架': 1, '影片': 1, '道歉': 1}",1.0
8,新聞標題,《紐時》：川普言論對台灣敲響警鐘NYT: Trump’s Remarks a Wake-Up Call for Taiwan,《紐時》：川普言論對台灣敲響警鐘-,"['《', '紐時', '》', '：', '川普言', '論', '對', '台灣', '敲響', '警鐘', '-']",《 / 紐時 / 》 / ： / 川普言 / 論 / 對 / 台灣 / 敲響 / 警鐘 / -,《/x | 紐時/ns | 》/x | ：/x | 川普言/nr | 論/v | 對/p | 台灣/ns | 敲響/v | 警鐘/n | -/x,11,11,"《, 紐時, 》, ：, 川普言, 論, 對, 台灣, 敲響, 警鐘, -","{'《': 1, '紐時': 1, '》': 1, '：': 1, '川普言': 1, '論': 1, '對': 1, '台灣': 1, '敲響': 1, '警鐘': 1, '-': 1}",1.0
9,新聞標題,"勞保2024年收支逆差665億 2031年恐破產 Labor Insurance Deficit Hits NT$66.5B, Bankruptcy by 2031?",勞保2024年收支逆差665億2031年恐破產6652031,"['勞保', '2024', '年', '收支', '逆差', '665', '億', '2031', '年', '恐', '破產', '6652031']",勞保 / 2024 / 年 / 收支 / 逆差 / 665 / 億 / 2031 / 年 / 恐 / 破產 / 6652031,勞保/vn | 2024/m | 年/m | 收支/n | 逆差/n | 665/m | 億/m | 2031/m | 年/m | 恐/d | 破產/v | 6652031/m,12,11,"勞保, 2024, 年, 收支, 逆差, 665, 億, 2031, 年, 恐, 破產, 6652031","{'勞保': 1, '2024': 1, '年': 2, '收支': 1, '逆差': 1, '665': 1, '億': 1, '2031': 1, '恐': 1, '破產': 1, '6652031': 1}",0.9166666666666666
