record_id,field,original_text,cleaned_text,words,segmented_text,pos_tags,word_count,unique_word_count,words_list,word_frequencies,lexical_diversity
10,新聞標題,聯發科推出 Breeze 2：繁體中文 AI 重大突破！MediaTek Unveils Breeze 2: A Breakthrough in Traditional Chinese AI!,聯發科推出2：繁體中文重大突破！2,"['聯發科', '推出', '2', '：', '繁體', '中文', '重大突破', '！', '2']",聯發科 / 推出 / 2 / ： / 繁體 / 中文 / 重大突破 / ！ / 2,聯發科/nt | 推出/v | 2/x | ：/x | 繁體/a | 中文/nz | 重大突破/i | ！/x | 2/x,9,8,"聯發科, 推出, 2, ：, 繁體, 中文, 重大突破, ！, 2","{'聯發科': 1, '推出': 1, '2': 2, '：': 1, '繁體': 1, '中文': 1, '重大突破': 1, '！': 1}",0.8888888888888888
11,新聞標題,"台灣旅客控日本機場安檢性騷 JAL調查Taiwan Traveler Accuses Japan Airport Security, JAL Probes",台灣旅客控日本機場安檢性騷調查,"['台灣', '旅客', '控', '日本', '機場', '安檢', '性騷', '調查']",台灣 / 旅客 / 控 / 日本 / 機場 / 安檢 / 性騷 / 調查,台灣/ns | 旅客/n | 控/v | 日本/ns | 機場/n | 安檢/v | 性騷/n | 調查/vn,8,8,"台灣, 旅客, 控, 日本, 機場, 安檢, 性騷, 調查","{'台灣': 1, '旅客': 1, '控': 1, '日本': 1, '機場': 1, '安檢': 1, '性騷': 1, '調查': 1}",1.0
12,新聞標題,川普推對等關稅 台擴大投資應對挑戰Trump’s Tariff Plan: Taiwan Expands Investment,川普推對等關稅台擴大投資應對挑戰,"['川普', '推對', '等', '關稅', '台擴大', '投資', '應對', '挑戰']",川普 / 推對 / 等 / 關稅 / 台擴大 / 投資 / 應對 / 挑戰,川普/nr | 推對/v | 等/u | 關稅/n | 台擴大/j | 投資/vn | 應對/v | 挑戰/vn,8,8,"川普, 推對, 等, 關稅, 台擴大, 投資, 應對, 挑戰","{'川普': 1, '推對': 1, '等': 1, '關稅': 1, '台擴大': 1, '投資': 1, '應對': 1, '挑戰': 1}",1.0
13,新聞標題,"千億補助遭刪 經長：錢在抽屜卻不能用$100B Subsidy Cut, Minister: Funds Stuck in Drawer",千億補助遭刪經長：錢在抽屜卻不能用100,"['千億', '補助', '遭刪', '經長', '：', '錢', '在', '抽屜', '卻', '不能', '用', '100']",千億 / 補助 / 遭刪 / 經長 / ： / 錢 / 在 / 抽屜 / 卻 / 不能 / 用 / 100,千億/m | 補助/v | 遭刪/v | 經長/n | ：/x | 錢/n | 在/p | 抽屜/n | 卻/d | 不能/v | 用/p | 100/m,12,12,"千億, 補助, 遭刪, 經長, ：, 錢, 在, 抽屜, 卻, 不能, 用, 100","{'千億': 1, '補助': 1, '遭刪': 1, '經長': 1, '：': 1, '錢': 1, '在': 1, '抽屜': 1, '卻': 1, '不能': 1, '用': 1, '100': 1}",1.0
14,新聞標題,"護理師離職潮擴大 台灣醫療瀕臨崩潰""Nurse Exodus Worsens, Taiwan’s Healthcare in Crisis""",護理師離職潮擴大台灣醫療瀕臨崩潰,"['護理', '師離', '職潮', '擴大', '台灣', '醫療', '瀕臨', '崩潰']",護理 / 師離 / 職潮 / 擴大 / 台灣 / 醫療 / 瀕臨 / 崩潰,護理/n | 師離/n | 職潮/n | 擴大/v | 台灣/ns | 醫療/n | 瀕臨/v | 崩潰/v,8,8,"護理, 師離, 職潮, 擴大, 台灣, 醫療, 瀕臨, 崩潰","{'護理': 1, '師離': 1, '職潮': 1, '擴大': 1, '台灣': 1, '醫療': 1, '瀕臨': 1, '崩潰': 1}",1.0
15,新聞標題,財政部超徵5283億 國民黨提案普發1萬元Treasury Overcollects $528.3B; KMT Proposes $10K Payout,財政部超徵5283億國民黨提案普發1萬元528310,"['財政部', '超', '徵', '5283', '億', '國民黨', '提案', '普發', '1', '萬元', '528310']",財政部 / 超 / 徵 / 5283 / 億 / 國民黨 / 提案 / 普發 / 1 / 萬元 / 528310,財政部/nt | 超/v | 徵/g | 5283/m | 億/m | 國民黨/nt | 提案/v | 普發/nz | 1/m | 萬元/m | 528310/m,11,11,"財政部, 超, 徵, 5283, 億, 國民黨, 提案, 普發, 1, 萬元, 528310","{'財政部': 1, '超': 1, '徵': 1, '5283': 1, '億': 1, '國民黨': 1, '提案': 1, '普發': 1, '1': 1, '萬元': 1, '528310': 1}",1.0
16,新聞標題,桃園聯結車內輪差釀禍 空服員騎YouBike遭輾不治Cyclist Killed by Truck’s Blind Spot in Taoyuan,桃園聯結車內輪差釀禍空服員騎遭輾不治,"['桃園聯', '結車', '內輪', '差釀', '禍空', '服員', '騎', '遭', '輾不治']",桃園聯 / 結車 / 內輪 / 差釀 / 禍空 / 服員 / 騎 / 遭 / 輾不治,桃園聯/ns | 結車/n | 內輪/n | 差釀/v | 禍空/n | 服員/n | 騎/v | 遭/v | 輾不治/v,9,9,"桃園聯, 結車, 內輪, 差釀, 禍空, 服員, 騎, 遭, 輾不治","{'桃園聯': 1, '結車': 1, '內輪': 1, '差釀': 1, '禍空': 1, '服員': 1, '騎': 1, '遭': 1, '輾不治': 1}",1.0
17,新聞標題,"范斯批AI監管過嚴 美拒簽巴黎宣言Vance Criticizes AI Rules, US Rejects Paris Pact",范斯批監管過嚴美拒簽巴黎宣言,"['范斯', '批', '監管', '過', '嚴美', '拒簽', '巴黎', '宣言']",范斯 / 批 / 監管 / 過 / 嚴美 / 拒簽 / 巴黎 / 宣言,范斯/nr | 批/q | 監管/vn | 過/ug | 嚴美/a | 拒簽/v | 巴黎/ns | 宣言/nr,8,8,"范斯, 批, 監管, 過, 嚴美, 拒簽, 巴黎, 宣言","{'范斯': 1, '批': 1, '監管': 1, '過': 1, '嚴美': 1, '拒簽': 1, '巴黎': 1, '宣言': 1}",1.0
18,新聞標題,"假新聞渲染分屍案 社會動盪加劇 Fake News Fuels Dismemberment Case, Sparks Chaos",假新聞渲染分屍案社會動盪加劇,"['假', '新聞', '渲染', '分', '屍案', '社會', '動盪', '加劇']",假 / 新聞 / 渲染 / 分 / 屍案 / 社會 / 動盪 / 加劇,假/a | 新聞/n | 渲染/v | 分/q | 屍案/n | 社會/n | 動盪/an | 加劇/v,8,8,"假, 新聞, 渲染, 分, 屍案, 社會, 動盪, 加劇","{'假': 1, '新聞': 1, '渲染': 1, '分': 1, '屍案': 1, '社會': 1, '動盪': 1, '加劇': 1}",1.0
19,新聞標題,"海軍士兵遭母代辦中國身分證 引國安疑慮Navy Soldier Unknowingly Had China ID, Raising Security Concerns",海軍士兵遭母代辦中國身分證引國安疑慮,"['海軍', '士兵', '遭母', '代辦', '中國', '身分', '證引', '國安', '疑慮']",海軍 / 士兵 / 遭母 / 代辦 / 中國 / 身分 / 證引 / 國安 / 疑慮,海軍/n | 士兵/n | 遭母/n | 代辦/v | 中國/ns | 身分/n | 證引/v | 國安/n | 疑慮/v,9,9,"海軍, 士兵, 遭母, 代辦, 中國, 身分, 證引, 國安, 疑慮","{'海軍': 1, '士兵': 1, '遭母': 1, '代辦': 1, '中國': 1, '身分': 1, '證引': 1, '國安': 1, '疑慮': 1}",1.0
20,新聞標題,"恢復七天國定假 勞工團體：不該有討價還價空間""Restore 7 Public Holidays: Workers Say No to Bargaining""",恢復七天國定假勞工團體：不該有討價還價空間7,"['恢', '復', '七天', '國定假', '勞工', '團體', '：', '不該', '有', '討價', '還價', '空間', '7']",恢 / 復 / 七天 / 國定假 / 勞工 / 團體 / ： / 不該 / 有 / 討價 / 還價 / 空間 / 7,恢/ag | 復/zg | 七天/t | 國定假/n | 勞工/vn | 團體/n | ：/x | 不該/v | 有/v | 討價/v | 還價/v | 空間/n | 7/m,13,13,"恢, 復, 七天, 國定假, 勞工, 團體, ：, 不該, 有, 討價, 還價, 空間, 7","{'恢': 1, '復': 1, '七天': 1, '國定假': 1, '勞工': 1, '團體': 1, '：': 1, '不該': 1, '有': 1, '討價': 1, '還價': 1, '空間': 1, '7': 1}",1.0
21,新聞標題,"太陽花女王劉喬安美國落網 3月遣返台受審Sunflower Queen Liu Chiao-an Arrested in US, Returning to Taiwan in March",太陽花女王劉喬安美國落網3月遣返台受審-,"['太陽', '花', '女王', '劉喬安', '美國', '落網', '3', '月', '遣返', '台', '受', '審', '-']",太陽 / 花 / 女王 / 劉喬安 / 美國 / 落網 / 3 / 月 / 遣返 / 台 / 受 / 審 / -,太陽/ns | 花/n | 女王/n | 劉喬安/nr | 美國/ns | 落網/n | 3/m | 月/m | 遣返/v | 台/q | 受/v | 審/v | -/x,13,13,"太陽, 花, 女王, 劉喬安, 美國, 落網, 3, 月, 遣返, 台, 受, 審, -","{'太陽': 1, '花': 1, '女王': 1, '劉喬安': 1, '美國': 1, '落網': 1, '3': 1, '月': 1, '遣返': 1, '台': 1, '受': 1, '審': 1, '-': 1}",1.0
22,新聞標題,"DeepSeek權謀改規則，ChatGPT遭騙認輸 DeepSeek Tricks ChatGPT, Wins by Rule Change!",權謀改規則，遭騙認輸,"['權謀', '改規', '則', '，', '遭騙', '認輸']",權謀 / 改規 / 則 / ， / 遭騙 / 認輸,權謀/n | 改規/vn | 則/d | ，/x | 遭騙/v | 認輸/vn,6,6,"權謀, 改規, 則, ，, 遭騙, 認輸","{'權謀': 1, '改規': 1, '則': 1, '，': 1, '遭騙': 1, '認輸': 1}",1.0
23,新聞標題,"錫蘭揭心靈課程爭議 展瑞言論惹議 Cilan Exposes Self-Help Course Risks, Jeff Sui Criticized",錫蘭揭心靈課程爭議展瑞言論惹議-,"['錫蘭', '揭心', '靈課', '程爭', '議展', '瑞言論', '惹議', '-']",錫蘭 / 揭心 / 靈課 / 程爭 / 議展 / 瑞言論 / 惹議 / -,錫蘭/ns | 揭心/v | 靈課/n | 程爭/n | 議展/vn | 瑞言論/n | 惹議/v | -/x,8,8,"錫蘭, 揭心, 靈課, 程爭, 議展, 瑞言論, 惹議, -","{'錫蘭': 1, '揭心': 1, '靈課': 1, '程爭': 1, '議展': 1, '瑞言論': 1, '惹議': 1, '-': 1}",1.0
24,新聞標題,NCC無線設備進口審查費750元惹議NCC’s NT$750 Wireless Import Fee Sparks Debate,無線設備進口審查費750元惹議750,"['無線', '設備', '進口', '審查', '費', '750', '元', '惹議', '750']",無線 / 設備 / 進口 / 審查 / 費 / 750 / 元 / 惹議 / 750,無線/n | 設備/vn | 進口/vn | 審查/vn | 費/n | 750/m | 元/m | 惹議/v | 750/m,9,8,"無線, 設備, 進口, 審查, 費, 750, 元, 惹議, 750","{'無線': 1, '設備': 1, '進口': 1, '審查': 1, '費': 1, '750': 2, '元': 1, '惹議': 1}",0.8888888888888888
25,新聞標題,史書華外遇風波延燒 公眾人物道德標準再受關注Shih Shu-Hua’s Affair Scandal Sparks Debate on Public Morality,史書華外遇風波延燒公眾人物道德標準再受關注-,"['史書華', '外遇', '風波', '延燒', '公眾', '人物', '道德', '標準', '再', '受', '關注', '-']",史書華 / 外遇 / 風波 / 延燒 / 公眾 / 人物 / 道德 / 標準 / 再 / 受 / 關注 / -,史書華/nr | 外遇/n | 風波/n | 延燒/v | 公眾/n | 人物/n | 道德/nr | 標準/n | 再/d | 受/v | 關注/v | -/x,12,12,"史書華, 外遇, 風波, 延燒, 公眾, 人物, 道德, 標準, 再, 受, 關注, -","{'史書華': 1, '外遇': 1, '風波': 1, '延燒': 1, '公眾': 1, '人物': 1, '道德': 1, '標準': 1, '再': 1, '受': 1, '關注': 1, '-': 1}",1.0
26,新聞標題,"高雄連環分屍案震驚社會 警方擴大偵辦 Kaohsiung Dismemberment Case Shocks Public, Probe Expands",高雄連環分屍案震驚社會警方擴大偵辦,"['高雄', '連', '環分', '屍案', '震驚', '社會', '警方', '擴大', '偵辦']",高雄 / 連 / 環分 / 屍案 / 震驚 / 社會 / 警方 / 擴大 / 偵辦,高雄/nr | 連/u | 環分/n | 屍案/n | 震驚/v | 社會/n | 警方/n | 擴大/v | 偵辦/v,9,9,"高雄, 連, 環分, 屍案, 震驚, 社會, 警方, 擴大, 偵辦","{'高雄': 1, '連': 1, '環分': 1, '屍案': 1, '震驚': 1, '社會': 1, '警方': 1, '擴大': 1, '偵辦': 1}",1.0
27,新聞標題,"大S骨灰包機爭議 汪小菲直播怒飆張蘭""Big S Ashes Flight Scandal: Wang Xiaofei Rages Live""",大骨灰包機爭議汪小菲直播怒飆張蘭,"['大', '骨灰', '包機', '爭議', '汪小菲', '直播', '怒飆', '張蘭']",大 / 骨灰 / 包機 / 爭議 / 汪小菲 / 直播 / 怒飆 / 張蘭,大/a | 骨灰/n | 包機/n | 爭議/v | 汪小菲/nr | 直播/vn | 怒飆/n | 張蘭/nr,8,8,"大, 骨灰, 包機, 爭議, 汪小菲, 直播, 怒飆, 張蘭","{'大': 1, '骨灰': 1, '包機': 1, '爭議': 1, '汪小菲': 1, '直播': 1, '怒飆': 1, '張蘭': 1}",1.0
28,新聞標題,"新北男搶10元自首求牢飯 無保請回""New Taipei Man Robs $0.30, Surrenders, Released""",新北男搶10元自首求牢飯無保請回030,"['新北', '男', '搶', '10', '元', '自首', '求', '牢', '飯', '無', '保請', '回', '030']",新北 / 男 / 搶 / 10 / 元 / 自首 / 求 / 牢 / 飯 / 無 / 保請 / 回 / 030,新北/ns | 男/b | 搶/v | 10/m | 元/m | 自首/v | 求/v | 牢/a | 飯/n | 無/v | 保請/v | 回/v | 030/m,13,13,"新北, 男, 搶, 10, 元, 自首, 求, 牢, 飯, 無, 保請, 回, 030","{'新北': 1, '男': 1, '搶': 1, '10': 1, '元': 1, '自首': 1, '求': 1, '牢': 1, '飯': 1, '無': 1, '保請': 1, '回': 1, '030': 1}",1.0
29,新聞標題,"「高雄診所收千元快速看診引爭議」""Kaohsiung Clinic Charges $1000 for Fast Care""",「高雄診所收千元快速看診引爭議」1000,"['「', '高雄', '診所', '收', '千元', '快速', '看診', '引爭議', '」', '1000']",「 / 高雄 / 診所 / 收 / 千元 / 快速 / 看診 / 引爭議 / 」 / 1000,「/x | 高雄/nr | 診所/v | 收/n | 千元/m | 快速/d | 看診/v | 引爭議/n | 」/x | 1000/m,10,10,"「, 高雄, 診所, 收, 千元, 快速, 看診, 引爭議, 」, 1000","{'「': 1, '高雄': 1, '診所': 1, '收': 1, '千元': 1, '快速': 1, '看診': 1, '引爭議': 1, '」': 1, '1000': 1}",1.0
30,新聞標題,"埔里路易莎驅趕罷免志工 引發爭議Puli Louisa Ousts Recall Volunteers, Stirs Debate",埔里路易莎驅趕罷免志工引發爭議,"['埔里', '路易莎', '驅趕', '罷', '免志', '工引', '發爭', '議']",埔里 / 路易莎 / 驅趕 / 罷 / 免志 / 工引 / 發爭 / 議,埔里/ns | 路易莎/nrt | 驅趕/v | 罷/v | 免志/n | 工引/vn | 發爭/vn | 議/n,8,8,"埔里, 路易莎, 驅趕, 罷, 免志, 工引, 發爭, 議","{'埔里': 1, '路易莎': 1, '驅趕': 1, '罷': 1, '免志': 1, '工引': 1, '發爭': 1, '議': 1}",1.0
31,新聞標題,"「大S猝逝揭露台日醫療差異，分級制度惹議」""Barbie Hsu's Death Highlights Japan-Taiwan Medical System Gap""",「大猝逝揭露台日醫療差異，分級制度惹議」-,"['「', '大', '猝逝', '揭露', '台', '日', '醫療', '差異', '，', '分級', '制度', '惹議', '」', '-']",「 / 大 / 猝逝 / 揭露 / 台 / 日 / 醫療 / 差異 / ， / 分級 / 制度 / 惹議 / 」 / -,「/x | 大/a | 猝逝/v | 揭露/v | 台/m | 日/m | 醫療/n | 差異/n | ，/x | 分級/vn | 制度/n | 惹議/v | 」/x | -/x,14,14,"「, 大, 猝逝, 揭露, 台, 日, 醫療, 差異, ，, 分級, 制度, 惹議, 」, -","{'「': 1, '大': 1, '猝逝': 1, '揭露': 1, '台': 1, '日': 1, '醫療': 1, '差異': 1, '，': 1, '分級': 1, '制度': 1, '惹議': 1, '」': 1, '-': 1}",1.0
32,新聞標題,486先生P圖韓女醜聞發酵　恐涉妨害隱私Influencer 486 Scandal: Alleged Deepfake Sparks Outrage,486先生圖韓女醜聞發酵恐涉妨害隱私486,"['486', '先生', '圖', '韓', '女', '醜聞', '發酵', '恐', '涉', '妨害', '隱私', '486']",486 / 先生 / 圖 / 韓 / 女 / 醜聞 / 發酵 / 恐 / 涉 / 妨害 / 隱私 / 486,486/m | 先生/n | 圖/n | 韓/j | 女/b | 醜聞/n | 發酵/v | 恐/d | 涉/v | 妨害/v | 隱私/b | 486/m,12,11,"486, 先生, 圖, 韓, 女, 醜聞, 發酵, 恐, 涉, 妨害, 隱私, 486","{'486': 2, '先生': 1, '圖': 1, '韓': 1, '女': 1, '醜聞': 1, '發酵': 1, '恐': 1, '涉': 1, '妨害': 1, '隱私': 1}",0.9166666666666666
33,新聞標題,DeepSeek AI涉侵權？美中AI競爭升溫DeepSeek AI Controversy: US-China AI Race Heats Up,涉侵權？美中競爭升溫-,"['涉侵', '權', '？', '美中', '競爭', '升溫', '-']",涉侵 / 權 / ？ / 美中 / 競爭 / 升溫 / -,涉侵/v | 權/n | ？/x | 美中/ns | 競爭/vn | 升溫/v | -/x,7,7,"涉侵, 權, ？, 美中, 競爭, 升溫, -","{'涉侵': 1, '權': 1, '？': 1, '美中': 1, '競爭': 1, '升溫': 1, '-': 1}",1.0
34,新聞標題,"竹科除夕夜突降壓 工程師圍爐途中急返廠Hsinchu Power Dip on Lunar New Year's Eve, Engineers Rushed Back",竹科除夕夜突降壓工程師圍爐途中急返廠,"['竹科', '除夕夜', '突降', '壓', '工程', '師圍', '爐', '途中', '急', '返廠']",竹科 / 除夕夜 / 突降 / 壓 / 工程 / 師圍 / 爐 / 途中 / 急 / 返廠,竹科/nz | 除夕夜/t | 突降/v | 壓/zg | 工程/n | 師圍/n | 爐/n | 途中/s | 急/v | 返廠/v,10,10,"竹科, 除夕夜, 突降, 壓, 工程, 師圍, 爐, 途中, 急, 返廠","{'竹科': 1, '除夕夜': 1, '突降': 1, '壓': 1, '工程': 1, '師圍': 1, '爐': 1, '途中': 1, '急': 1, '返廠': 1}",1.0
35,新聞標題,義消捕蜂殉職撫卹爭議 市府籲保障Volunteer Firefighter Death Sparks Policy Debate,義消捕蜂殉職撫卹爭議市府籲保障,"['義', '消捕', '蜂', '殉職', '撫卹', '爭議', '市府', '籲', '保障']",義 / 消捕 / 蜂 / 殉職 / 撫卹 / 爭議 / 市府 / 籲 / 保障,義/ng | 消捕/v | 蜂/n | 殉職/v | 撫卹/v | 爭議/v | 市府/n | 籲/zg | 保障/v,9,9,"義, 消捕, 蜂, 殉職, 撫卹, 爭議, 市府, 籲, 保障","{'義': 1, '消捕': 1, '蜂': 1, '殉職': 1, '撫卹': 1, '爭議': 1, '市府': 1, '籲': 1, '保障': 1}",1.0
36,新聞標題,"台積電面臨關稅挑戰，產業前景受考驗TSMC Faces Tariff Challenges, Industry at Stake",台積電面臨關稅挑戰，產業前景受考驗,"['台積', '電面', '臨', '關稅', '挑戰', '，', '產業', '前景', '受', '考驗']",台積 / 電面 / 臨 / 關稅 / 挑戰 / ， / 產業 / 前景 / 受 / 考驗,台積/n | 電面/n | 臨/v | 關稅/n | 挑戰/vn | ，/x | 產業/n | 前景/n | 受/v | 考驗/vn,10,10,"台積, 電面, 臨, 關稅, 挑戰, ，, 產業, 前景, 受, 考驗","{'台積': 1, '電面': 1, '臨': 1, '關稅': 1, '挑戰': 1, '，': 1, '產業': 1, '前景': 1, '受': 1, '考驗': 1}",1.0
37,新聞標題,"DeepSeek超越ChatGPT 登美國App Store榜首DeepSeek Tops US App Store, Beats ChatGPT",超越登美國榜首,"['超越', '登美國', '榜首']",超越 / 登美國 / 榜首,超越/v | 登美國/ns | 榜首/n,3,3,"超越, 登美國, 榜首","{'超越': 1, '登美國': 1, '榜首': 1}",1.0
