label,count,mean,std,min,max,median,sem,ci_half_width,ci_low,ci_high
AI｜影片對話,298,0.6533618186341476,0.012691828552244336,0.6177533225195903,0.6978748267882335,0.6527694601596089,0.0007352178876227223,0.0014410270597405358,0.651920791574407,0.6548028456938881
AI｜影片描述,298,0.6319163339522795,0.013741986547404071,0.6122107319000059,0.7396827631040536,0.630293705883753,0.0007960519069047526,0.001560261737533315,0.6303560722147462,0.6334765956898128
AI｜新聞標題,298,0.6042378957807072,0.007699101686920023,0.6000000000007693,0.6843750000011539,0.600000000001154,0.0004459969858203695,0.0008741540922079242,0.6033637416884993,0.6051120498729151
記者｜新聞內容,20,0.6532192483645667,0.018083794868607322,0.6202724390738705,0.6871972731167834,0.6529432916183684,0.004043659461736785,0.007925572545004098,0.6452936758195625,0.6611448209095708
記者｜新聞標題,20,0.6028065542843607,0.006539835328192397,0.6000000000007693,0.6245454545466085,0.600000000001154,0.0014623516355492846,0.002866209205676598,0.5999403450786841,0.6056727634900373
