label,count,mean,std,min,max,median,sem,ci_half_width,ci_low,ci_high
AI｜影片對話,298,-1.4421826120167546e-12,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12,-1.4421826120167546e-12,0.0,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12
AI｜影片描述,298,-1.4421826120167546e-12,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12,-1.4421826120167546e-12,0.0,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12
AI｜新聞標題,298,-1.442186911918102e-12,7.422780594911879e-17,-1.4434639826182802e-12,-1.4421826120167546e-12,-1.4421826120167546e-12,4.299901347401202e-18,8.427806640906355e-18,-1.442195339724743e-12,-1.442178484111461e-12
記者｜新聞內容,20,-1.4421826120167546e-12,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12,-1.4421826120167546e-12,0.0,0.0,-1.4421826120167546e-12,-1.4421826120167546e-12
記者｜新聞標題,20,-1.4423748176069834e-12,4.694269786305436e-16,-1.4434639826182802e-12,-1.4421826120167546e-12,-1.4421826120167546e-12,1.0496706346902365e-16,2.0573544439928636e-16,-1.4425805530513827e-12,-1.4421690821625842e-12
