label,count,mean,std,min,max,median,sem,ci_half_width,ci_low,ci_high
AI｜影片對話,298,0.9375,0.0,0.9375,0.9375,0.9375,0.0,0.0,0.9375,0.9375
AI｜影片描述,298,0.9375,0.0,0.9375,0.9375,0.9375,0.0,0.0,0.9375,0.9375
AI｜新聞標題,298,0.9372902684563759,0.0036205277897718244,0.875,0.9375,0.9375,0.00020973154362416096,0.0004110738255033555,0.9368791946308725,0.9377013422818792
記者｜新聞內容,20,0.9375,0.0,0.9375,0.9375,0.9375,0.0,0.0,0.9375,0.9375
記者｜新聞標題,20,0.928125,0.022896721783282704,0.875,0.9375,0.9375,0.005119862636932033,0.010034930768386786,0.9180900692316132,0.9381599307683868
